"PLACE","YEAR","IDNO","DAYNR","PERIOD","TYPE","SPECIES","SEX","MOT/CALF","SIZE","SIZECAT","DEPTH1","DEPTH2","SURF","SURF01","SURF02","SUM","BIN01","BIN02","BIN03","BIN04","BIN05","BIN06","BIN07","BIN08","BIN09","BIN10","BIN11","BIN12","BIN13","BIN14","DIVES","DIST","TAD","SPEED","DIVE/H/6H","DIVE/H/24H","MAXDEPTH","WARN"
"CRE",2000,20691,241.75,0.75,2,"NW",2,0,400,2,8,8,,,,431,218,162,50,1,0,0,0,0,0,0,0,0,0,0,158,,24,,,6.583,128,
"CRE",2000,20691,242.00,0.00,0,"NW",2,0,400,2,8,8,6120,28.333,28.333,98,59,28,8,3,0,0,0,0,0,0,0,0,0,0,,,,,16.333,,,?,
"CRE",2000,20691,242.00,0.00,1,"NW",2,0,400,2,8,8,,,,98,50,17,17,11,3,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,242.00,0.00,2,"NW",2,0,400,2,8,8,,,,308,230,67,10,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,242.25,0.25,0,"NW",2,0,400,2,8,8,4050,18.750,18.750,54,28,15,4,3,4,0,0,0,0,0,0,0,0,0,,,,,9.000,,,
"CRE",2000,20691,242.25,0.25,1,"NW",2,0,400,2,8,8,,,,54,18,6,10,15,5,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,242.25,0.25,2,"NW",2,0,400,2,8,8,,,,358,250,53,7,35,13,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,242.50,0.50,0,"NW",2,0,400,2,8,8,8280,38.333,38.333,36,0,21,4,0,11,0,0,0,0,0,0,0,0,0,11,48.000,98,0.269,6.000,,,
"CRE",2000,20691,242.50,0.50,1,"NW",2,0,400,2,8,8,,,,36,0,1,7,16,8,4,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,242.50,0.50,2,"NW",2,0,400,2,8,8,,,,540,162,222,11,98,47,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,242.75,0.75,0,"NW",2,0,400,2,8,8,8280,38.333,38.333,65,46,7,0,12,0,0,0,0,0,0,0,0,0,0,12,16.000,6,0.913,10.833,,,
"CRE",2000,20691,242.75,0.75,1,"NW",2,0,400,2,8,8,,,,65,17,16,15,9,8,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,242.75,0.75,2,"NW",2,0,400,2,8,8,,,,308,222,6,6,74,0,0,0,0,0,0,0,0,0,0,253,,24,,,10.542,128,
"CRE",2000,20691,243.00,0.00,0,"NW",2,0,400,2,8,8,,,,44,6,14,18,4,2,0,0,0,0,0,0,0,0,0,,,,,7.333,,,
"CRE",2000,20691,243.00,0.00,1,"NW",2,0,400,2,8,8,,,,44,4,5,11,15,9,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,243.00,0.00,2,"NW",2,0,400,2,8,8,,,,538,231,246,39,6,16,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,243.25,0.25,0,"NW",2,0,400,2,8,8,5220,24.167,24.167,72,38,19,5,0,10,0,0,0,0,0,0,0,0,0,10,48.000,22,0.725,12.000,,,
"CRE",2000,20691,243.25,0.25,1,"NW",2,0,400,2,8,8,,,,72,22,15,15,12,8,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,243.25,0.25,2,"NW",2,0,400,2,8,8,,,,359,230,40,6,22,61,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,243.50,0.50,0,"NW",2,0,400,2,8,8,5220,24.167,24.167,36,9,5,1,1,20,0,0,0,0,0,0,0,0,0,,,,,6.000,,,
"CRE",2000,20691,243.50,0.50,1,"NW",2,0,400,2,8,8,,,,36,2,1,7,12,14,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,243.50,0.50,2,"NW",2,0,400,2,8,8,,,,720,220,18,20,250,212,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,243.75,0.75,0,"NW",2,0,400,2,8,8,7470,34.583,34.583,27,2,3,0,1,11,9,1,0,0,0,0,0,0,0,,,,,4.500,,,
"CRE",2000,20691,243.75,0.75,1,"NW",2,0,400,2,8,8,,,,27,0,4,0,2,12,9,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,243.75,0.75,2,"NW",2,0,400,2,8,8,,,,720,218,22,16,80,239,144,1,0,0,0,0,0,0,0,179,,24,,,7.458,192,
"CRE",2000,20691,244.00,0.00,0,"NW",2,0,400,2,8,8,6480,30.000,30.000,31,1,0,0,25,5,0,0,0,0,0,0,0,0,0,,,,,5.167,,,
"CRE",2000,20691,244.00,0.00,1,"NW",2,0,400,2,8,8,,,,31,1,0,2,13,15,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,244.00,0.00,2,"NW",2,0,400,2,8,8,,,,431,137,23,46,220,5,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,244.25,0.25,0,"NW",2,0,400,2,8,8,5940,27.500,27.500,35,9,1,1,13,11,0,0,0,0,0,0,0,0,0,,,,,5.833,,,
"CRE",2000,20691,244.25,0.25,1,"NW",2,0,400,2,8,8,,,,35,2,6,3,9,15,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,244.25,0.25,2,"NW",2,0,400,2,8,8,,,,539,199,20,26,221,73,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,244.50,0.50,0,"NW",2,0,400,2,8,8,5310,24.583,24.583,41,16,0,0,5,20,0,0,0,0,0,0,0,0,0,,,,,6.833,,,
"CRE",2000,20691,244.50,0.50,1,"NW",2,0,400,2,8,8,,,,41,16,0,0,3,19,3,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,244.50,0.50,2,"NW",2,0,400,2,8,8,,,,720,220,18,20,250,212,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,244.75,0.75,0,"NW",2,0,400,2,8,8,5310,24.583,24.583,36,19,0,0,0,0,0,17,0,0,0,0,0,0,0,17,180.000,74,1.646,6.000,,,
"CRE",2000,20691,244.75,0.75,1,"NW",2,0,400,2,8,8,,,,36,10,9,0,0,17,0,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,244.75,0.75,2,"NW",2,0,400,2,8,8,,,,430,225,9,7,19,20,19,131,0,0,0,0,0,0,0,143,,24,,,5.958,192,
"CRE",2000,20691,245.00,0.00,0,"NW",2,0,400,2,8,8,,,,28,2,6,3,0,0,5,12,0,0,0,0,0,0,0,,,,,4.667,,,
"CRE",2000,20691,245.00,0.00,1,"NW",2,0,400,2,8,8,,,,28,1,5,3,2,7,10,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,245.00,0.00,2,"NW",2,0,400,2,8,8,,,,538,205,39,12,28,44,168,42,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,245.25,0.25,0,"NW",2,0,400,2,8,8,6930,32.083,32.083,27,0,0,0,0,4,1,22,0,0,0,0,0,0,0,,,,,4.500,,,
"CRE",2000,20691,245.25,0.25,1,"NW",2,0,400,2,8,8,,,,27,0,0,1,9,8,9,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,245.25,0.25,2,"NW",2,0,400,2,8,8,,,,540,137,14,13,46,58,42,230,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,245.50,0.50,0,"NW",2,0,400,2,8,8,6930,32.083,32.083,25,0,0,0,0,2,0,23,0,0,0,0,0,0,0,23,48.000,34,1.627,4.167,,,
"CRE",2000,20691,245.50,0.50,1,"NW",2,0,400,2,8,8,,,,25,0,0,2,4,18,1,0,0,0,0,0,0,0,0,,,,,,,,
"CRE",2000,20691,245.50,0.50,2,"NW",2,0,400,2,8,8,,,,541,187,13,14,41,40,34,212,0,0,0,0,0,0,0,80,,18,,,4.444,,
